business_id,service,drink,time,price,food
The Broiler (4111 Boulder Hwy),4.5,3.6,4.112903226,3.611111111,4.510869565
Steak On a Stone (145 Montrose West Ave),1.928571429,2.5,2.944444444,2.375,1.933333333
Silver Nugget Steak House (2140 Las Vegas Blvd N),3,4,4,2.5,3.666666667
Little Shmiddy's Hot Meat House (584 Parliament Street),4.083333333,0,5,4.666666667,4.576923077
Timpone's (710 S Goodwin Ave),2.783783784,3,3.4,2.854166667,3.456521739
McCormick & Schmick's Seafood & Steaks (2667 Sidney St),2.9140625,2.183333333,3.086956522,2.596774194,2.475308642
Texas Roadhouse (8510 S Emerald Dr),3.35042735,3.640625,3.769662921,3.862068966,3.711409396
The Woodshed Restaurant (210 S Main St),2.95,2.5,3.625,2.857142857,3.533333333
South Philly Steak & Fries (301 S Hills Village),0,3.5,2.083333333,3.5,2.166666667
Chartreuse (10512 Islington Avenue),3.666666667,0,1,4.5,3.285714286
"lbs. Restaurant (100 Yonge Street, Suite 100)",3.530612245,3.166666667,3.016666667,2.596153846,3.156862745
Texas Roadhouse (7801 Gateway Lane),3.28125,3.083333333,3.067567568,3.473684211,3.472222222
Andiron Steak & Sea (1720 Festival Plaza Dr),4.034653465,3.857142857,3.830128205,2.86627907,3.978187919
Wild Eagle Steak & Saloon (5001 E Royalton Rd),3.088235294,3.566666667,3.333333333,1.6,3.517241379
La Banquette (4840 Boulevard Samson),0,1,0,0,5
Tilted Grill (1800 4th Street SW),3.875,3.5,3.2,2.375,2.666666667
The Brock House (918 Brock Street N),3.235294118,3,4.153846154,2.730769231,2.846153846
Outback Steakhouse (4141 S Pecos Rd),3.625,3.5,3.75,3.75,4.25
Logan's Roadhouse (3481 W Frye Rd),0,0,3,4.5,5
Fuegos - Steak Tapas Vegan (904 Williamson St),3.363157895,3.423076923,3.064935065,3.019230769,3.520325203
Lawry's The Prime Rib (4043 Howard Hughes Pkwy),4.430608365,4.072289157,4.359237537,3.253472222,4.428571429
Medina Steak and Seafood Company (538 W Liberty St),3.333333333,5,3,2.25,3.208333333
Restaurant Rube (147 Route 201),4.5,1,3.666666667,1,3.75
Auberge du Dragon Rouge (8870 Rue Lajeunesse),4.625,4,4.444444444,4.5,4.642857143
Grillades Torino (977 Rue Sainte-Catherine O),5,0,3.333333333,4.5,3.833333333
Outback Steakhouse (521 N Stephanie St),4.084269663,4.117021277,3.82,3.515625,3.954773869
Feiler's (4506 Verona Rd),3.75,2,4,4.5,3.333333333
Bob Taylor's Ranch House (6250 Rio Vista St),3.232044199,3.074074074,3.736686391,3.107758621,3.588105727
Ken Stewart's East Bank (1121 W 10th St),2.814814815,3.291666667,3.176470588,2.805555556,3.140625
"Simon Restaurant and Lounge (Palms Place Hotel & Spa, 4381 W Flamingo Rd)",2.886075949,3.615853659,3.663265306,2.5625,3.056818182
"Morton's The Steakhouse (227 W Trade St, Ste 150)",4.140625,3.637931034,3.892857143,2.518518519,4.065217391
Shogun (306 E Garrison Blvd),2.5,1.166666667,2.153846154,1.25,2.470588235
Wellington's of Calgary Dining & Lounge (10325 Bonaventure Drive SE),4.023809524,1,3.923076923,3.8,3.631578947
"Michael T's Steaks, Ribs, & Burgers (7315 W Warm Springs Rd)",4.06557377,3.903846154,3.840909091,3.75,4.331521739
"Geisha House Steak & Sushi (6125 S Fort Apache Rd, Ste 200)",3.068965517,3.366666667,3.413043478,3.416666667,3.628205128
Outback Steakhouse (738 Howe Ave),3.115384615,3.583333333,3.363636364,3.5,3.46875
Lone Star Steakhouse & Saloon (10610 Centrum Pkwy),3,0,2,0,3
"Bâton Rouge Steakhouse & Bar (25 Consumers Drive, Unit 2)",3.111111111,1.25,2.8,4.5,1.944444444
Cafe Arc De Triomphe (5813 Yonge Street),3.2,3.5,3.5,2.7,3.142857143
Morso Me (850 King Street W),0,0,4,4.166666667,4.1
Applebee's Grill + Bar (525 Grandview Crossing Dr),2.5,2.2,1.875,2.5,3.214285714
